title,author,publisher,call_number,isbn,edition,year,pages,copies,remarks,image_url,,,,,,,,,
Intro. to Humanities,"Van de Bogart, Doris",,001.3,,,,422,,,,,,,,,,,,
The Humanities,"Zulueta, Francisco",National Book Store Inc,00.13,,,1994,283,,,,,,,,,,,,
Logic: Simplified & Integrated,"Reyes, Edgardo A.",,160,,,,,,,,,,,,,,,,
Logic: The Essentials of Deductive Reasoning,"Agapay, Ramon B.",National Book Store Inc,160,,,1991,,,,,,,,,,,,,
College Algebra,"Hart, William","National Book Store Inc, D. E. Hart & Company",512,,,1964,480,,,,,,,,,,,,
Plane trigonometry: Simplified & Integrated,"Reyes, Edgardo A.",,516.232,,,,,,,,,,,,,,,,
Modern Algebra & Trigonometry,"Vance, Elbridge P.",National Book Store Inc,512,,,,436,,,,,,,,,,,,
Fundamental Logic,"Pi§on, Manuel T.",Rex Printing Co. Inc,160,,,1973,326,,,,,,,,,,,,
History of Western Civilization,"McNeill, William H.",National Book Store Inc,940.1,,,1986,672,,,,,,,,,,,,
Introduction to Psychology,"Aquino, Gaudencio",National Book Store Inc,150,,,1991,530,,,,,,,,,,,,
General Psychology,"Storer, Tracy I. .et al.",Mc Graw Hill Inc.,591,,,,902,,,,,,,,,,,,
Developmental Psychology,"Harlock, Elizabeth B.",,155,,,,,,,,,,,,,,,,
DDC,,,,,,,,,,,,,,,,,,,
Thesaurus Dictionary,,,,,,,,,,,,,,,,,,,
Rizal's Correspondence w/ Fellow Reformist,,,,,,,,,,,,,,,,,,,
Rizal's Poems,,,,,,,,,,,,,,,,,,,
Rizal's Prose,,,,,,,,,,,,,,,,,,,
The Laws of the 1st Philippine Republic,,,,,,,,,,,,,,,,,,,
A Rizal Anthology,,,,,,,,,,,,,,,,,,,
Filipinos in History Vol. I,,,,,,,,,,,,,,,,,,,
Filipinos in History Vol. II,,,,,,,,,,,,,,,,,,,
Filipinos in History Vol. III,,,,,,,,,,,,,,,,,,,
Filipinos in History Vol. IV,,,,,,,,,,,,,,,,,,,
Why is Rizal the Greatest Fil. Hero,de Ocampo E.,,,,,,,,,,,,,,,,,,
Letters Bet. Rizal & Family Members,,,,,,,,,,,,,,,,,,,
Miscellaneous Writting of Dr. Jose Rizal,,,,,,,,,,,,,,,,,,,
